"StuID","Reason","LastUpdatedDate"
"2176","CSC + REN","2015-06-11 00:00:00"
"2177","CSC + REN","2015-06-11 00:00:00"
"2186","CSC+ REN","2015-06-13 00:00:00"
"2187","CSC+REN+COA","2015-06-13 00:00:00"
"2189","CSC+REN","2015-06-15 00:00:00"
"2190","CSC+REN+COA                           RNT
                                                    ( M.R.B)","2015-07-06 00:00:00"
"2196","CSC+REN","2015-06-18 00:00:00"
"2199","CSC","2015-06-18 00:00:00"
"2206","CSC+REN","2015-06-23 00:00:00"
"2215","CSC+ REN","2015-06-27 00:00:00"
"2226","CSC +REN+COA","2015-07-02 00:00:00"
"2231","CSC + REN + COA","2015-07-03 00:00:00"
"2240","REN + CSC","2015-07-09 00:00:00"
"2243","REN + CSC","2015-07-10 00:00:00"
"2245","CSC+ REN","2015-07-13 00:00:00"
"2246","CSC + REN","2015-07-13 00:00:00"
"2247","CSC+ REN","2015-07-14 00:00:00"
"2248","CSC+ REN","2015-07-14 00:00:00"
"2249","CSC+REN + COA","2015-07-14 00:00:00"
"2251","CSC+REN + COA","2015-07-15 00:00:00"
"2260","CSC + REN","2015-07-18 00:00:00"
"2261","CSC + REN","2015-07-18 00:00:00"
"2262","CSC + REN","2015-07-20 00:00:00"
"2264","CSC + COA","2015-07-22 00:00:00"
"2265","CSC","2015-07-22 00:00:00"
"2268","CSC + REN","2015-07-23 00:00:00"
"2269","CSC + REN","2015-07-23 00:00:00"
"2271","CSC + REN+COA","2015-07-24 00:00:00"
"2272","CSC + REN","2015-07-24 00:00:00"
"2273","CSC + REN + COA","2015-07-24 00:00:00"
"2274","CSC + REN","2015-07-24 00:00:00"
"2277","CSC + REN","2015-07-29 00:00:00"
"2279","CSC + REN","2015-07-30 00:00:00"
"2282","CSC+REN","2015-08-03 00:00:00"
"2283","CSC+REN+COA","2015-08-04 00:00:00"
"2284","CSC","2015-08-05 00:00:00"
"2285","CSC+ REN+COA+CON","2015-08-06 00:00:00"
"2286","CSC +","2015-08-06 00:00:00"
"2299","CSC + REN","2015-08-17 00:00:00"
"2300","CSC + REN + COA","2015-08-17 00:00:00"
"2301","CSC + REN","2015-08-17 00:00:00"
"2303","CSC + REN","2015-08-17 00:00:00"
"2316","CSC","2015-08-22 00:00:00"
"2317","CSC + REN","2015-08-22 00:00:00"
"2321","CSC + REN","2015-08-22 00:00:00"
"2322","CSC+REN","2015-08-24 00:00:00"
"2326","CSC+REN+COA","2015-08-25 00:00:00"
"2327","CSC+REN","2015-08-25 00:00:00"
"2328","CSC","2015-08-25 00:00:00"
"2330","CSC","2015-08-28 00:00:00"
"2332","CSC + REN","2015-08-31 00:00:00"
"2337","CSC + REN + COA","2015-09-01 00:00:00"
"2340","CSC + REN","2015-09-01 00:00:00"
"2344","CSC + REN","2015-09-04 00:00:00"
"2347","CSC+REN","2015-09-07 00:00:00"
"2348","CSC+ REN","2015-09-07 00:00:00"
"2349","CSC","2015-09-07 00:00:00"
"2350","CSC","2015-09-07 00:00:00"
"2351","CSC+REN","2015-09-07 00:00:00"
"2352","CSC+REN","2015-09-07 00:00:00"
"2355","CSC+REN","2015-09-08 00:00:00"
